"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 07","38.6511","38.6230","38.7307","38.4844","","0.07%"
"2025- 05- 06","38.6229","38.5640","38.8255","38.3683","","0.13%"
"2025- 05- 05","38.5720","38.5694","38.7154","38.4065","","0.01%"
"2025- 05- 02","38.5698","38.4480","38.7148","38.3291","","0.32%"
"2025- 05- 01","38.4479","38.4908","38.6308","38.3549","","-0.11%"
"2025- 04- 30","38.4908","38.4713","38.6805","38.3226","","0.05%"
"2025- 04- 29","38.4713","38.4351","38.7132","38.2406","","0.10%"
"2025- 04- 28","38.4339","38.4228","38.6690","38.1685","","0.03%"
"2025- 04- 25","38.4235","38.3497","38.5610","38.2530","","0.20%"
"2025- 04- 24","38.3464","38.3025","38.4966","38.0531","","0.11%"
"2025- 04- 23","38.3025","38.2634","38.4118","38.1167","","0.10%"
"2025- 04- 22","38.2634","38.1962","38.4295","38.0802","","0.24%"
"2025- 04- 21","38.1701","38.1176","38.3729","37.8816","","1.37%"
"2025- 04- 18","37.6529","38.0260","38.3498","37.7873","","0.12%"
"2025- 04- 17","37.6085","38.1383","38.2997","37.7798","","-1.37%"
"2025- 04- 16","38.1291","38.0836","38.3053","37.9788","","0.13%"
"2025- 04- 15","38.0785","38.0300","38.3140","37.8120","","0.14%"
"2025- 04- 14","38.0255","37.9900","38.2854","37.7681","","0.44%"
"2025- 04- 11","37.8604","37.9187","38.2802","37.8120","","-0.10%"
"2025- 04- 10","37.8965","37.9775","38.1097","37.7567","","-0.20%"
"2025- 04- 09","37.9706","37.9696","38.2957","37.7528","","0.07%"
"2025- 04- 08","37.9449","37.9889","38.1811","37.5828","","-0.02%"
"2025- 04- 07","37.9525","38.0035","38.2336","37.7544","","-0.10%"
"2025- 04- 04","37.9907","37.9404","38.2823","37.7381","","0.14%"
"2025- 04- 03","37.9383","37.9451","38.1679","37.6180","","0.05%"
"2025- 04- 02","37.9178","37.9417","38.2333","37.6895","","-0.06%"
"2025- 04- 01","37.9396","37.9474","38.2367","37.6548","","-0.01%"
